Learning Day,Tier,Pattern Family,ID,Title,Difficulty,Prerequisite Topics,Pattern / Technique,Companies,Num Companies,Avg Frequency %,Other Methods to Solve,Source
0,Known (review),Array (Sorting/Basic),2418,Sort the People,Easy,"Array, Sorting","Pair (value,label) and sort by value","Infosys,Google,Amazon",3,33.3,Index-sort with comparator; Build via auxiliary index array then map,Infosys-tagged
0,Known (review),Array (Sorting/Basic),3637,Trionic Array I,Easy,Array,Scan and check strictly-increasing then strictly-decreasing then strictly-increasing segments,"Infosys,Google,Amazon",3,33.3,Brute force try all split points and validate each segment,Infosys-tagged
0,Known (review),Array (Sorting/Basic),228,Summary Ranges,Easy,Array,Single pass grouping consecutive runs,"Google,Microsoft,Amazon",3,33.3,Brute-force nested loop O(n^2) as the naive baseline,Cross-company-curated
0,Known (review),Array (Sorting/Basic),1470,Shuffle the Array,Easy,Array,Direct index remapping,"Google,Microsoft,Amazon",3,33.3,Brute-force nested loop O(n^2) as the naive baseline,Cross-company-curated
0,Known (review),Array (Sorting/Basic),459,Repeated Substring Pattern,Easy,String,KMP failure-function trick (or simple string doubling),"Google,Microsoft,Amazon",3,29.2,Brute-force nested loop O(n^2) as the naive baseline,Cross-company-curated
0,Known (review),Array (Sorting/Basic),1502,Can Make Arithmetic Progression From Sequence,Easy,"Array, Sorting, Math",Sort + check constant difference,"Google,Microsoft,Amazon",3,29.2,Brute-force nested loop O(n^2) as the naive baseline,Cross-company-curated
0,Known (review),Array Simulation / Matrix,867,Transpose Matrix,Easy,"Array, Matrix",Swap row/col indices,"Google,Microsoft,Amazon",3,29.2,Brute-force cell-by-cell check without the simulation shortcut,Cross-company-curated
0,Known (review),Array (Sorting/Basic),3110,Score of a String,Easy,"String, Math",Simple character-value accumulation,"Google,Microsoft,Amazon",3,29.2,Brute-force nested loop O(n^2) as the naive baseline,Cross-company-curated
0,Known (review),Array (Sorting/Basic),1304,Find N Unique Integers Sum up to Zero,Easy,"Math, Array",Symmetric +/- pairs plus a zero if odd n,"Google,Microsoft,Amazon",3,29.2,Brute-force nested loop O(n^2) as the naive baseline,Cross-company-curated
0,Known (review),Array (Sorting/Basic),696,Count Binary Substrings,Easy,"String, Two Pointers","Group consecutive runs, min of adjacent group lengths","Google,Microsoft,Amazon",3,29.2,Brute-force nested loop O(n^2) as the naive baseline,Cross-company-curated
0,Known (review),Array (Sorting/Basic),1672,Richest Customer Wealth,Easy,Array,Max of pairwise sums,"Google,Microsoft,Amazon",3,25.0,Brute-force nested loop O(n^2) as the naive baseline,Cross-company-curated
0,Known (review),Array (Sorting/Basic),56,Merge Intervals,Medium,"Array, Sorting",Sort by start time then merge overlapping ranges,"Infosys,Google,Microsoft,Amazon",4,65.6,Line sweep with start/end events; Union-Find on overlapping intervals,Infosys-tagged
0,Known (review),Array (Sorting/Basic),31,Next Permutation,Medium,Array,"Next Permutation algorithm (find pivot, swap, reverse suffix)","Infosys,Google,Microsoft,Amazon",4,62.5,"Generate all permutations, sort, find next (very inefficient); Library next_permutation",Infosys-tagged
0,Known (review),Array Simulation / Matrix,48,Rotate Image,Medium,"Array, Matrix",Transpose then reverse each row (in-place),"Infosys,Google,Microsoft,Amazon",4,59.4,Layer-by-layer 4-way rotation; Copy into a new matrix (extra space),Infosys-tagged
0,Known (review),Array Simulation / Matrix,54,Spiral Matrix,Medium,"Array, Matrix, Simulation",Boundary simulation (track top/bottom/left/right and shrink),"Infosys,Google,Microsoft,Amazon",4,59.4,Layer-by-layer peeling; Direction-vector simulation with visited matrix; Recursive spiral,Infosys-tagged
0,Known (review),Array (Sorting/Basic),189,Rotate Array,Medium,Array,"Reversal algorithm (reverse whole, then reverse parts)","Infosys,Google,Microsoft,Amazon",4,56.2,Extra array + copy back; Cyclic replacement; Using built-in rotate/deque,Infosys-tagged
0,Known (review),Array (Sorting/Basic),151,Reverse Words in a String,Medium,String,"Split on whitespace, reverse list, join","Infosys,Google,Microsoft,Amazon",4,53.1,In-place reversal: reverse whole string then reverse each word; Stack-based word push/pop,Infosys-tagged
0,Known (review),Array (Sorting/Basic),155,Min Stack,Medium,"Stack, Design",Auxiliary stack tracking running minimum,"Infosys,Google,Microsoft,Amazon",4,53.1,"Single stack storing (value, currentMin) pairs; Store min via delta-encoding trick (O(1) extra space)",Infosys-tagged
0,Known (review),Array Simulation / Matrix,73,Set Matrix Zeroes,Medium,"Array, Matrix",In-place marking using first row/column as flags,"Infosys,Google,Microsoft,Amazon",4,50.0,Extra boolean sets for rows/cols (O(m+n) space); Brute force with a separate copy matrix,Infosys-tagged
0,Known (review),Array Simulation / Matrix,6,Zigzag Conversion,Medium,"String, Simulation",Row-by-row simulation with direction toggling,"Infosys,Google,Microsoft,Amazon",4,46.9,Mathematical index formula per row (no simulation); Build rows as separate strings then concatenate,Infosys-tagged
0,Known (review),Array (Sorting/Basic),912,Sort an Array,Medium,"Sorting, Divide & Conquer",Merge Sort / Quick Sort from scratch,"Infosys,Google,Microsoft,Amazon",4,43.8,Heap Sort; Built-in sort (for comparison); Counting/Radix sort if value range is bounded,Infosys-tagged
0,Known (review),Array (Sorting/Basic),8,String to Integer (atoi),Medium,String,Manual character-by-character parsing with overflow checks,"Infosys,Google,Microsoft,Amazon",4,43.8,State machine (DFA) parsing; Regex-based parsing (less interview-friendly but valid),Infosys-tagged
0,Known (review),Array Simulation / Matrix,840,Magic Squares In Grid,Medium,"Array, Matrix, Simulation",Scan every 3x3 window and validate magic-square rules,"Infosys,Google,Microsoft,Amazon",4,25.0,Brute force check every subgrid explicitly; Quick center=5 pre-check before full validation,Infosys-tagged
0,Known (review),Array Simulation / Matrix,36,Valid Sudoku,Medium,"Array, Matrix, Hashing",Row/col/box hash-set validation,"Google,Microsoft,Amazon",3,54.2,Brute-force cell-by-cell check without the simulation shortcut,Cross-company-curated
0,Known (review),Array (Sorting/Basic),57,Insert Interval,Medium,"Array, Sorting",Linear scan merging the new interval into sorted list,"Google,Microsoft,Amazon",3,41.7,Brute-force nested loop O(n^2) as the naive baseline,Cross-company-curated
0,Known (review),Array (Sorting/Basic),229,Majority Element II,Medium,Array,Extended Boyer-Moore voting for 2 majority candidates,"Google,Microsoft,Amazon",3,37.5,Brute-force nested loop O(n^2) as the naive baseline,Cross-company-curated
0,Known (review),Array Simulation / Matrix,498,Diagonal Traverse,Medium,"Array, Matrix, Simulation",Diagonal-by-diagonal traversal with direction toggling,"Google,Microsoft,Amazon",3,37.5,Brute-force cell-by-cell check without the simulation shortcut,Cross-company-curated
0,Known (review),Array (Sorting/Basic),274,H-Index,Medium,"Array, Sorting, Binary Search",Sort descending + find crossover index,"Google,Microsoft,Amazon",3,37.5,Brute-force nested loop O(n^2) as the naive baseline,Cross-company-curated
0,Known (review),Array Simulation / Matrix,348,Design Tic-Tac-Toe,Medium,"Array, Design, Matrix",Row/col/diagonal counters per player,"Google,Microsoft,Amazon",3,37.5,Brute-force cell-by-cell check without the simulation shortcut,Cross-company-curated
0,Known (review),Array (Sorting/Basic),334,Increasing Triplet Subsequence,Medium,"Array, Greedy","Track two running minimums (smallest, second-smallest)","Google,Microsoft,Amazon",3,33.3,Brute-force nested loop O(n^2) as the naive baseline,Cross-company-curated
0,Known (review),Array (Sorting/Basic),622,Design Circular Queue,Medium,"Array, Design",Circular buffer with head/tail pointers,"Google,Microsoft,Amazon",3,33.3,Brute-force nested loop O(n^2) as the naive baseline,Cross-company-curated
0,Known (review),Array (Sorting/Basic),38,Count and Say,Medium,"String, Simulation",Iteratively build run-length description of previous term,"Google,Microsoft,Amazon",3,33.3,Brute-force nested loop O(n^2) as the naive baseline,Cross-company-curated
0,Known (review),Array (Sorting/Basic),442,Find All Duplicates in an Array,Medium,"Array, Hashing",Cyclic sort / negative-marking trick for O(1) space,"Google,Microsoft,Amazon",3,33.3,Brute-force nested loop O(n^2) as the naive baseline,Cross-company-curated
0,Known (review),Array (Sorting/Basic),362,Design Hit Counter,Medium,"Design, Queue",Circular buffer of timestamps,"Google,Microsoft,Amazon",3,29.2,Brute-force nested loop O(n^2) as the naive baseline,Cross-company-curated
0,Known (review),Array (Sorting/Basic),581,Shortest Unsorted Continuous Subarray,Medium,"Array, Two Pointers, Sorting",Compare sorted copy to find boundary of the unsorted segment,"Google,Microsoft,Amazon",3,29.2,Brute-force nested loop O(n^2) as the naive baseline,Cross-company-curated
0,Known (review),Array (Sorting/Basic),1146,Snapshot Array,Medium,"Design, Binary Search, Hashing",Version-stamped array + binary search per key,"Google,Microsoft,Amazon",3,29.2,Brute-force nested loop O(n^2) as the naive baseline,Cross-company-curated
0,Known (review),Array (Sorting/Basic),1781,Sum of Beauty of All Substrings,Medium,"String, Sliding Window",Nested substring scan tracking char frequencies,"Google,Microsoft,Amazon",3,29.2,Brute-force nested loop O(n^2) as the naive baseline,Cross-company-curated
0,Known (review),Array Simulation / Matrix,289,Game of Life,Medium,"Array, Matrix, Simulation",In-place encode next-state using extra bits,"Google,Microsoft,Amazon",3,29.2,Brute-force cell-by-cell check without the simulation shortcut,Cross-company-curated
0,Known (review),Array Simulation / Matrix,59,Spiral Matrix II,Medium,"Array, Matrix, Simulation",Boundary simulation filling values in spiral order,"Google,Microsoft,Amazon",3,29.2,Brute-force cell-by-cell check without the simulation shortcut,Cross-company-curated
0,Known (review),Array (Sorting/Basic),165,Compare Version Numbers,Medium,String,Split on '.' and compare numeric segments,"Google,Microsoft,Amazon",3,29.2,Brute-force nested loop O(n^2) as the naive baseline,Cross-company-curated
0,Known (review),Array (Sorting/Basic),271,Encode and Decode Strings,Medium,"String, Design",Length-prefix encoding scheme,"Google,Microsoft,Amazon",3,29.2,Brute-force nested loop O(n^2) as the naive baseline,Cross-company-curated
0,Known (review),Array (Sorting/Basic),41,First Missing Positive,Hard,Array,Cyclic sort (place each value at its correct index),"Infosys,Google,Microsoft,Amazon",4,50.0,Hash set + linear scan for missing positive (O(n) extra space); Sorting O(n log n) then scan,Infosys-tagged
0,Known (review),Array Simulation / Matrix,68,Text Justification,Hard,"String, Simulation",Greedy word-packing per line with space distribution,"Google,Microsoft,Amazon",3,41.7,Brute-force cell-by-cell check without the simulation shortcut,Cross-company-curated
0,Known (review),Array (Sorting/Basic),214,Shortest Palindrome,Hard,"String, Two Pointers",KMP failure function on s + reverse(s),"Google,Microsoft,Amazon",3,33.3,Brute-force nested loop O(n^2) as the naive baseline,Cross-company-curated
1,New — to learn,Hashing,1,Two Sum,Easy,"Arrays, Hashing",Hash Map (complement lookup),"Infosys,Google,Microsoft,Amazon",4,100.0,Brute force O(n^2); Two Pointers if array is sorted; Sort + Binary Search,Infosys-tagged
1,New — to learn,Hashing,242,Valid Anagram,Easy,"String, Hashing",Frequency counter (array or hashmap),"Infosys,Google,Microsoft,Amazon",4,59.4,Sort both strings and compare; Two separate hashmaps and compare,Infosys-tagged
1,New — to learn,Hashing,13,Roman to Integer,Easy,"String, Math, Hashing",Left-to-right scan applying subtraction rule,"Infosys,Google,Microsoft,Amazon",4,59.4,Right-to-left scan comparing to previous symbol's value; Hash map lookup table for symbol values,Infosys-tagged
1,New — to learn,Hashing,217,Contains Duplicate,Easy,"Array, Hashing",Hash Set lookup for duplicates,"Infosys,Google,Microsoft,Amazon",4,50.0,Sort then compare adjacent elements; Brute force O(n^2) all pairs,Infosys-tagged
1,New — to learn,Hashing,349,Intersection of Two Arrays,Easy,"Array, Hashing",Hash Set intersection,"Infosys,Google,Microsoft,Amazon",4,46.9,Sort both arrays + two pointers; Brute force nested loop O(n*m),Infosys-tagged
1,New — to learn,Hashing,205,Isomorphic Strings,Easy,"String, Hashing",Two-way character mapping consistency check,"Google,Microsoft,Amazon",3,50.0,Sorting-based comparison; brute-force nested loop O(n^2),Cross-company-curated
1,New — to learn,Hashing,219,Contains Duplicate II,Easy,"Array, Hashing, Sliding Window",HashMap of last-seen index within window k,"Google,Microsoft,Amazon",3,50.0,Sorting-based comparison; brute-force nested loop O(n^2),Cross-company-curated
1,New — to learn,Hashing,202,Happy Number,Easy,"Math, Hashing",Cycle detection on digit-square-sum sequence,"Google,Microsoft,Amazon",3,50.0,Sorting-based comparison; brute-force nested loop O(n^2),Cross-company-curated
1,New — to learn,Hashing,387,First Unique Character in a String,Easy,"String, Hashing",Frequency count then first index with count 1,"Google,Microsoft,Amazon",3,45.8,Sorting-based comparison; brute-force nested loop O(n^2),Cross-company-curated
1,New — to learn,Hashing,383,Ransom Note,Easy,"String, Hashing",Frequency count comparison,"Google,Microsoft,Amazon",3,41.7,Sorting-based comparison; brute-force nested loop O(n^2),Cross-company-curated
1,New — to learn,Hashing,1207,Unique Number of Occurrences,Easy,"Array, Hashing",Frequency count + duplicate-count check via set,"Google,Microsoft,Amazon",3,37.5,Sorting-based comparison; brute-force nested loop O(n^2),Cross-company-curated
1,New — to learn,Hashing,359,Logger Rate Limiter,Easy,"Hashing, Design",HashMap of message→last-seen timestamp,"Google,Microsoft,Amazon",3,33.3,Sorting-based comparison; brute-force nested loop O(n^2),Cross-company-curated
1,New — to learn,Hashing,389,Find the Difference,Easy,"String, Hashing, Bit Manipulation",Frequency count or XOR of both strings,"Google,Microsoft,Amazon",3,29.2,Sorting-based comparison; brute-force nested loop O(n^2),Cross-company-curated
1,New — to learn,Hashing,771,Jewels and Stones,Easy,"Array, Hashing","Hash set of jewel characters, count in stones","Google,Microsoft,Amazon",3,29.2,Sorting-based comparison; brute-force nested loop O(n^2),Cross-company-curated
1,New — to learn,Hashing,706,Design HashMap,Easy,"Hashing, Design",Bucket array with chaining for O(1) average ops,"Google,Microsoft,Amazon",3,29.2,Sorting-based comparison; brute-force nested loop O(n^2),Cross-company-curated
1,New — to learn,Hashing,409,Longest Palindrome,Easy,"String, Hashing",Frequency count parity (even counts + at most one odd),"Google,Microsoft,Amazon",3,29.2,Sorting-based comparison; brute-force nested loop O(n^2),Cross-company-curated
1,New — to learn,Hashing,1512,Number of Good Pairs,Easy,"Array, Hashing","HashMap counting occurrences, combinatorial pair count","Google,Microsoft,Amazon",3,25.0,Sorting-based comparison; brute-force nested loop O(n^2),Cross-company-curated
1,New — to learn,Hashing,3184,Count Pairs That Form a Complete Day I,Easy,"Array, Hashing",Hash map counting occurrences of (24 − h) mod 24,"Infosys,Google",2,25.0,Brute force O(n^2) all pairs; Sort + two pointer,Infosys-tagged
1,New — to learn,Hashing,49,Group Anagrams,Medium,"Array, Hashing, String, Sorting",Hash Map keyed by sorted string / char-count signature,"Infosys,Google,Microsoft,Amazon",4,68.8,"Frequency-count tuple as key (avoids sort, O(n) per word); Trie grouping",Infosys-tagged
1,New — to learn,Hashing,128,Longest Consecutive Sequence,Medium,"Array, Hashing",Hash Set + only start counting at sequence beginnings,"Infosys,Google,Microsoft,Amazon",4,65.6,Sort + linear scan O(n log n); Union-Find grouping consecutive numbers,Infosys-tagged
1,New — to learn,Hashing,146,LRU Cache,Medium,"Hashing, Linked List, Design",HashMap + Doubly Linked List for O(1) get/put with eviction,"Google,Microsoft,Amazon",3,75.0,Sorting-based comparison; brute-force nested loop O(n^2),Cross-company-curated
1,New — to learn,Hashing,380,Insert Delete GetRandom O(1),Medium,"Hashing, Design, Array",HashMap for O(1) lookup + array for O(1) random pick,"Google,Microsoft,Amazon",3,54.2,Sorting-based comparison; brute-force nested loop O(n^2),Cross-company-curated
1,New — to learn,Hashing,981,Time Based Key-Value Store,Medium,"Hashing, Design, Binary Search",HashMap of timestamp lists + binary search per key,"Google,Microsoft,Amazon",3,37.5,Sorting-based comparison; brute-force nested loop O(n^2),Cross-company-curated
1,New — to learn,Hashing,451,Sort Characters By Frequency,Medium,"String, Hashing, Sorting, Heap",Frequency count + sort/bucket by frequency,"Google,Microsoft,Amazon",3,37.5,Sorting-based comparison; brute-force nested loop O(n^2),Cross-company-curated
1,New — to learn,Hashing,1930,Unique Length-3 Palindromic Subsequences,Medium,"String, Hashing",Track first/last occurrence per letter pair,"Google,Microsoft,Amazon",3,29.2,Sorting-based comparison; brute-force nested loop O(n^2),Cross-company-curated
1,New — to learn,Hashing,916,Word Subsets,Medium,"String, Hashing",Frequency-count comparison across word list,"Google,Microsoft,Amazon",3,25.0,Sorting-based comparison; brute-force nested loop O(n^2),Cross-company-curated
1,New — to learn,Hashing,460,LFU Cache,Hard,"Hashing, Design",HashMap + frequency buckets for O(1) LFU eviction,"Google,Microsoft,Amazon",3,50.0,Sorting-based comparison; brute-force nested loop O(n^2),Cross-company-curated
2,New — to learn,Two Pointers,88,Merge Sorted Array,Easy,"Array, Two Pointers",Two pointer merge from the back (avoids overwrite),"Infosys,Google,Microsoft,Amazon",4,68.8,Merge into new array then copy back; Merge then sort O((m+n)log(m+n)),Infosys-tagged
2,New — to learn,Two Pointers,26,Remove Duplicates from Sorted Array,Easy,"Array, Two Pointers","Two Pointer (slow-fast, in-place overwrite)","Infosys,Google,Microsoft,Amazon",4,62.5,"Use a Set + rebuild array (extra space, not in-place)",Infosys-tagged
2,New — to learn,Two Pointers,283,Move Zeroes,Easy,"Array, Two Pointers",Two pointer (slow-fast) in-place swap,"Infosys,Google,Microsoft,Amazon",4,62.5,Copy non-zeros to new array then pad zeros (extra space); Bubble-style shifting (less efficient),Infosys-tagged
2,New — to learn,Two Pointers,125,Valid Palindrome,Easy,"String, Two Pointers",Two pointer with alnum filtering & case-fold,"Infosys,Google,Microsoft,Amazon",4,50.0,Clean string first then compare to its reverse; Recursive comparison,Infosys-tagged
2,New — to learn,Two Pointers,141,Linked List Cycle,Easy,"Linked List, Two Pointers",Floyd's Cycle Detection (slow/fast pointers),"Infosys,Google,Microsoft,Amazon",4,50.0,"Hash set of visited nodes; Node marking/mutation (destructive, not ideal)",Infosys-tagged
2,New — to learn,Two Pointers,234,Palindrome Linked List,Easy,"Linked List, Two Pointers, Stack","Find middle, reverse second half, compare","Infosys,Google,Microsoft,Amazon",4,50.0,Copy values into array/list and check palindrome; Recursive comparison; Push first half to a stack,Infosys-tagged
2,New — to learn,Two Pointers,344,Reverse String,Easy,"Array, Two Pointers",Two pointer swap from both ends,"Infosys,Google,Microsoft,Amazon",4,43.8,Recursion; Explicit stack; Built-in reverse,Infosys-tagged
2,New — to learn,Two Pointers,392,Is Subsequence,Easy,"String, Two Pointers",Two pointer greedy matching,"Infosys,Google,Microsoft,Amazon",4,37.5,"DP (useful when many queries against same s, less needed for single query); Binary search using precomputed char-position lists",Infosys-tagged
2,New — to learn,Two Pointers,977,Squares of a Sorted Array,Easy,"Array, Two Pointers",Two pointer merge from both ends (largest absolute value first),"Infosys,Google,Microsoft,Amazon",4,37.5,Square every element then sort O(n log n); Binary search for the pivot then merge two sorted halves,Infosys-tagged
2,New — to learn,Two Pointers,541,Reverse String II,Easy,"String, Two Pointers",Chunk-wise reversal (reverse first k of every 2k),"Infosys,Google,Microsoft,Amazon",4,28.1,"Iterative index manipulation without slicing; Convert to list, slice-reverse chunks, rejoin",Infosys-tagged
2,New — to learn,Two Pointers,1768,Merge Strings Alternately,Easy,"String, Two Pointers",Two pointers walking both strings simultaneously,"Google,Microsoft,Amazon",3,66.7,Brute-force nested loop O(n^2); hashing where order doesn't matter,Cross-company-curated
2,New — to learn,Two Pointers,27,Remove Element,Easy,"Array, Two Pointers",Two pointer in-place overwrite,"Google,Microsoft,Amazon",3,58.3,Brute-force nested loop O(n^2); hashing where order doesn't matter,Cross-company-curated
2,New — to learn,Two Pointers,345,Reverse Vowels of a String,Easy,"String, Two Pointers",Two pointers swapping vowels inward,"Google,Microsoft,Amazon",3,41.7,Brute-force nested loop O(n^2); hashing where order doesn't matter,Cross-company-curated
2,New — to learn,Two Pointers,680,Valid Palindrome II,Easy,"String, Two Pointers",Two pointer with a single allowed mismatch skip,"Google,Microsoft,Amazon",3,37.5,Brute-force nested loop O(n^2); hashing where order doesn't matter,Cross-company-curated
2,New — to learn,Two Pointers,844,Backspace String Compare,Easy,"String, Two Pointers, Stack","Two pointers from the end, skipping backspaced characters","Google,Microsoft,Amazon",3,29.2,Brute-force nested loop O(n^2); hashing where order doesn't matter,Cross-company-curated
2,New — to learn,Two Pointers,3467,Transform Array by Parity,Easy,"Array, Sorting, Two Pointers",Two-pointer in-place partition by parity,Infosys,1,75.0,Sort using a parity comparator; Counting/bucket by parity then rebuild,Infosys-tagged
2,New — to learn,Two Pointers,15,3Sum,Medium,"Array, Two Pointers, Sorting","Sort + Two Pointer (fix one, converge two)","Infosys,Google,Microsoft,Amazon",4,71.9,Hashing based pair lookup per fixed element; Brute force O(n^3),Infosys-tagged
2,New — to learn,Two Pointers,11,Container With Most Water,Medium,"Array, Two Pointers","Two Pointer (shrink from ends, move shorter side)","Infosys,Google,Microsoft,Amazon",4,68.8,Brute force O(n^2) all pairs,Infosys-tagged
2,New — to learn,Two Pointers,18,4Sum,Medium,"Array, Two Pointers, Sorting",Sort + nested two pointer (generalized k-Sum),"Infosys,Google,Microsoft,Amazon",4,56.2,Hash-map based k-sum reduction; Brute force O(n^4),Infosys-tagged
2,New — to learn,Two Pointers,75,Sort Colors,Medium,"Array, Two Pointers, Sorting",Dutch National Flag algorithm (three-pointer partition),"Infosys,Google,Microsoft,Amazon",4,53.1,Counting sort in two passes (count then overwrite); Built-in sort O(n log n),Infosys-tagged
2,New — to learn,Two Pointers,167,Two Sum II - Input Array Is Sorted,Medium,"Array, Two Pointers",Two pointer converging from both ends (sorted array),"Infosys,Google,Microsoft,Amazon",4,46.9,"Binary search for the complement of each element; Hash map (extra space, doesn't use sorted property)",Infosys-tagged
2,New — to learn,Two Pointers,142,Linked List Cycle II,Medium,"Linked List, Two Pointers",Floyd's Cycle Detection + math to find cycle start,"Infosys,Google,Microsoft,Amazon",4,40.6,Hash set to find first repeated node visited,Infosys-tagged
2,New — to learn,Two Pointers,143,Reorder List,Medium,"Linked List, Two Pointers","Find middle, reverse second half, merge two halves alternately","Infosys,Google,Microsoft,Amazon",4,40.6,Copy nodes into an array/list then rebuild in interleaved order; Stack-based alternate merge,Infosys-tagged
2,New — to learn,Two Pointers,658,Find K Closest Elements,Medium,"Array, Binary Search, Two Pointers",Binary search on the window's starting index,"Infosys,Google,Microsoft,Amazon",4,40.6,"Two pointer shrinking from both ends by comparing distances; Sort by distance to x, take k, then re-sort (less efficient)",Infosys-tagged
2,New — to learn,Two Pointers,328,Odd Even Linked List,Medium,Linked List,"Two pointer partitioning into odd and even chains, then joining","Infosys,Google,Microsoft,Amazon",4,40.6,Extract values into an array and rebuild in odd/even order (extra space),Infosys-tagged
2,New — to learn,Two Pointers,2149,Rearrange Array Elements by Sign,Medium,"Array, Two Pointers",Two pointer separating positive/negative indices then interleaving,"Infosys,Google,Microsoft,Amazon",4,34.4,Two separate arrays for pos/neg then merge alternately; Sorting-based partition (loses order requirement),Infosys-tagged
2,New — to learn,Two Pointers,556,Next Greater Element III,Medium,"Math, String, Two Pointers",Next-permutation logic applied to digits,"Infosys,Google,Microsoft,Amazon",4,28.1,Generate permutations of digits and filter valid ones (too slow); Brute force increment and check,Infosys-tagged
2,New — to learn,Two Pointers,1498,Number of Subsequences That Satisfy the Given Sum Condition,Medium,"Array, Two Pointers, Sorting",Sort + two pointer with power-of-2 counting,"Infosys,Google,Microsoft,Amazon",4,25.0,Precomputed power-of-2 array + binary search per pointer position; Brute force O(n^2) (too slow),Infosys-tagged
2,New — to learn,Two Pointers,532,K-diff Pairs in an Array,Medium,"Array, Hashing, Two Pointers, Sorting",Hash map counting occurrences per value,"Infosys,Google,Microsoft,Amazon",4,21.9,Sort + two pointer scanning for difference k; Brute force O(n^2) all pairs,Infosys-tagged
2,New — to learn,Two Pointers,287,Find the Duplicate Number,Medium,"Array, Two Pointers",Floyd's cycle detection applied to array-as-linked-list,"Google,Microsoft,Amazon",3,50.0,Brute-force nested loop O(n^2); hashing where order doesn't matter,Cross-company-curated
2,New — to learn,Two Pointers,16,3Sum Closest,Medium,"Array, Two Pointers, Sorting",Sort + two pointer tracking closest sum,"Google,Microsoft,Amazon",3,45.8,Brute-force nested loop O(n^2); hashing where order doesn't matter,Cross-company-curated
2,New — to learn,Two Pointers,443,String Compression,Medium,"String, Array, Two Pointers",In-place read/write pointers,"Google,Microsoft,Amazon",3,45.8,Brute-force nested loop O(n^2); hashing where order doesn't matter,Cross-company-curated
2,New — to learn,Two Pointers,80,Remove Duplicates from Sorted Array II,Medium,"Array, Two Pointers",Slow pointer allowing up to 2 duplicates,"Google,Microsoft,Amazon",3,41.7,Brute-force nested loop O(n^2); hashing where order doesn't matter,Cross-company-curated
2,New — to learn,Two Pointers,2337,Move Pieces to Obtain a String,Medium,"String, Two Pointers",Two pointers comparing non-underscore characters,"Google,Microsoft,Amazon",3,29.2,Brute-force nested loop O(n^2); hashing where order doesn't matter,Cross-company-curated
2,New — to learn,Two Pointers,42,Trapping Rain Water,Hard,"Array, Two Pointers, DP, Stack",Two Pointer with running left/right max,"Infosys,Google,Microsoft,Amazon",4,71.9,DP with precomputed leftMax/rightMax arrays; Monotonic stack; Brute force O(n^2),Infosys-tagged
